index,modelId,layer,description,explanationModelName,typeName,bio_related
0,gemma-2-9b,18-gemmascope-res-16k, programming-related keywords and imports,,oai_token-act-pair,
1,gemma-2-9b,18-gemmascope-res-16k,specific technical terms and identifiers related to digital signal processing and software,,oai_token-act-pair,
2,gemma-2-9b,18-gemmascope-res-16k,elements of programming syntax and control flow statements,,oai_token-act-pair,
3,gemma-2-9b,18-gemmascope-res-16k," logical connectors, particularly conjunctions and disjunctions",,oai_token-act-pair,
4,gemma-2-9b,18-gemmascope-res-16k,elements related to anxiety and its impact on physical health,,oai_token-act-pair,
5,gemma-2-9b,18-gemmascope-res-16k, phrases related to business operations and management efficiency,,oai_token-act-pair,
6,gemma-2-9b,18-gemmascope-res-16k,end braces and related control flow structures in code,,oai_token-act-pair,
7,gemma-2-9b,18-gemmascope-res-16k,"language-related terminology, particularly in the context of grammar and kinship expressions",,oai_token-act-pair,
8,gemma-2-9b,18-gemmascope-res-16k, elements related to error handling in code,,oai_token-act-pair,
9,gemma-2-9b,18-gemmascope-res-16k,key historical events and figures related to technological advancement and innovation,,oai_token-act-pair,
10,gemma-2-9b,18-gemmascope-res-16k,Java date manipulation commands and methods related to calendar objects,,oai_token-act-pair,
11,gemma-2-9b,18-gemmascope-res-16k,legal terminology and references related to court cases and judicial decisions,,oai_token-act-pair,
12,gemma-2-9b,18-gemmascope-res-16k, references to music videos and their production,,oai_token-act-pair,
13,gemma-2-9b,18-gemmascope-res-16k, statements and questions regarding evidence and witness testimony in a legal context,,oai_token-act-pair,
14,gemma-2-9b,18-gemmascope-res-16k,cases involving legal or regulatory issues,,oai_token-act-pair,
15,gemma-2-9b,18-gemmascope-res-16k,initiatives and projects related to education and governance,,oai_token-act-pair,
16,gemma-2-9b,18-gemmascope-res-16k, technical terms related to programming interfaces and event handling,,oai_token-act-pair,
17,gemma-2-9b,18-gemmascope-res-16k,categories and classifications related to media and publications,,oai_token-act-pair,
18,gemma-2-9b,18-gemmascope-res-16k,technical terms and formal structures related to mathematical modeling and theoretical frameworks,,oai_token-act-pair,
19,gemma-2-9b,18-gemmascope-res-16k," occurrences of the phrase ""have to"" and similar constructions indicating obligation or necessity",,oai_token-act-pair,
20,gemma-2-9b,18-gemmascope-res-16k, statistical distributions and their characteristics,,oai_token-act-pair,
21,gemma-2-9b,18-gemmascope-res-16k, HTML input and button elements with specific attributes,,oai_token-act-pair,
22,gemma-2-9b,18-gemmascope-res-16k, terms related to familial relationships,,oai_token-act-pair,
23,gemma-2-9b,18-gemmascope-res-16k," instances of the word ""the"" in various contexts",,oai_token-act-pair,
24,gemma-2-9b,18-gemmascope-res-16k, structured address components and location details,,oai_token-act-pair,
25,gemma-2-9b,18-gemmascope-res-16k, themes related to workplace culture and employee well-being,,oai_token-act-pair,
26,gemma-2-9b,18-gemmascope-res-16k, technical terms related to neural network architectures and their configurations,,oai_token-act-pair,
27,gemma-2-9b,18-gemmascope-res-16k,references to celebrities and their involvement in charitable activities,,oai_token-act-pair,
28,gemma-2-9b,18-gemmascope-res-16k,lines of code that involve class definitions and method declarations,,oai_token-act-pair,
29,gemma-2-9b,18-gemmascope-res-16k, phrases indicating a presence or relationship between subjects and objects,,oai_token-act-pair,
30,gemma-2-9b,18-gemmascope-res-16k, terminology related to validation and error handling in programming or data processing contexts,,oai_token-act-pair,
31,gemma-2-9b,18-gemmascope-res-16k,culinary instructions and ingredients,,oai_token-act-pair,
32,gemma-2-9b,18-gemmascope-res-16k, copyright-related content and software licenses,,oai_token-act-pair,
33,gemma-2-9b,18-gemmascope-res-16k,terms related to data handling and specifications in experimental or technical contexts,,oai_token-act-pair,
34,gemma-2-9b,18-gemmascope-res-16k, specific numerical and statistical information related to experimental data,,oai_token-act-pair,
35,gemma-2-9b,18-gemmascope-res-16k,terms related to evaluation and judgment of conditions or outcomes,,oai_token-act-pair,
36,gemma-2-9b,18-gemmascope-res-16k, terms related to statistical analysis and normalization in scientific contexts,,oai_token-act-pair,
37,gemma-2-9b,18-gemmascope-res-16k, references to public figures and their backgrounds,,oai_token-act-pair,
38,gemma-2-9b,18-gemmascope-res-16k, coding-related elements and their associations in programming languages,,oai_token-act-pair,
39,gemma-2-9b,18-gemmascope-res-16k,"technical terms related to size, measurement, and specifications in various contexts",,oai_token-act-pair,
40,gemma-2-9b,18-gemmascope-res-16k, terms and concepts related to mathematical structures and properties,,oai_token-act-pair,
41,gemma-2-9b,18-gemmascope-res-16k, references to product specifications and descriptions,,oai_token-act-pair,
42,gemma-2-9b,18-gemmascope-res-16k,references to human-animal interactions and emotional connections,,oai_token-act-pair,
43,gemma-2-9b,18-gemmascope-res-16k,phrases related to copyright and licensing information,,oai_token-act-pair,
44,gemma-2-9b,18-gemmascope-res-16k, patterns or representations of mathematical equations or structures,,oai_token-act-pair,
45,gemma-2-9b,18-gemmascope-res-16k,"technical terms and references related to programming, particularly in C, Angular, and database management",,oai_token-act-pair,
46,gemma-2-9b,18-gemmascope-res-16k,code related to hardware interfacing and memory operations,,oai_token-act-pair,
47,gemma-2-9b,18-gemmascope-res-16k, elements and attributes related to user interface components in code,,oai_token-act-pair,
48,gemma-2-9b,18-gemmascope-res-16k, integer data types in programming contexts,gpt-4o-mini,oai_token-act-pair,
49,gemma-2-9b,18-gemmascope-res-16k," numerical data points, particularly related to statistical or mathematical expressions",,oai_token-act-pair,
