index,modelId,layer,description,explanationModelName,typeName,bio_related
0,gemma-2-9b,5-gemmascope-res-16k, infinitive verbs and expressions related to intention or purpose,,oai_token-act-pair,
1,gemma-2-9b,5-gemmascope-res-16k, numerical expressions or representations,,oai_token-act-pair,
2,gemma-2-9b,5-gemmascope-res-16k, navigational elements and user interface components within a webpage,,oai_token-act-pair,
3,gemma-2-9b,5-gemmascope-res-16k,"parentheses and brackets in scientific or technical writing, indicating formulas or references",,oai_token-act-pair,
4,gemma-2-9b,5-gemmascope-res-16k, references to materials and substances in a technical context,,oai_token-act-pair,
5,gemma-2-9b,5-gemmascope-res-16k,phrases indicating contrast or comparison in statements,,oai_token-act-pair,
6,gemma-2-9b,5-gemmascope-res-16k, verbs related to obtaining or receiving something,,oai_token-act-pair,
7,gemma-2-9b,5-gemmascope-res-16k, code and formatting related to LaTeX documents and figures,,oai_token-act-pair,
8,gemma-2-9b,5-gemmascope-res-16k, programming-related syntax and functions,,oai_token-act-pair,
9,gemma-2-9b,5-gemmascope-res-16k,"the presence of indentation and formatting elements in text, likely in relation to code or structured data",,oai_token-act-pair,
10,gemma-2-9b,5-gemmascope-res-16k,terms associated with modal verbs and grammatical structures,,oai_token-act-pair,
11,gemma-2-9b,5-gemmascope-res-16k,references to people or individuals,,oai_token-act-pair,
12,gemma-2-9b,5-gemmascope-res-16k,technical terms and keywords related to error handling and system notifications,,oai_token-act-pair,
13,gemma-2-9b,5-gemmascope-res-16k,references to locations and legal terms related to Louisiana,,oai_token-act-pair,
14,gemma-2-9b,5-gemmascope-res-16k, numerical sequences and identifiers related to scientific or technical contexts,,oai_token-act-pair,
15,gemma-2-9b,5-gemmascope-res-16k,"conjugated forms of the verb ""be"" in various contexts",,oai_token-act-pair,
16,gemma-2-9b,5-gemmascope-res-16k,"words related to ""free"" or complimentary offers",,oai_token-act-pair,
17,gemma-2-9b,5-gemmascope-res-16k,words and variations related to ribonucleic acid (RNA),,oai_token-act-pair,
18,gemma-2-9b,5-gemmascope-res-16k, concepts related to observation and the act of seeing,,oai_token-act-pair,
19,gemma-2-9b,5-gemmascope-res-16k,"important differences, contributions, and potential impacts in experimental trials and studies",,oai_token-act-pair,
20,gemma-2-9b,5-gemmascope-res-16k,structured data elements or JSON-like objects in a text,,oai_token-act-pair,
21,gemma-2-9b,5-gemmascope-res-16k,references to safety and related concepts,,oai_token-act-pair,
22,gemma-2-9b,5-gemmascope-res-16k,scientific names and classifications of plants and herbs,,oai_token-act-pair,
23,gemma-2-9b,5-gemmascope-res-16k, terms related to descriptions of academic papers or articles,,oai_token-act-pair,
24,gemma-2-9b,5-gemmascope-res-16k,names of authors or researchers in academic citations,,oai_token-act-pair,
25,gemma-2-9b,5-gemmascope-res-16k, the beginning of new sections or paragraphs in a document,,oai_token-act-pair,
26,gemma-2-9b,5-gemmascope-res-16k, mentions of various types of pearls and related materials,,oai_token-act-pair,
27,gemma-2-9b,5-gemmascope-res-16k,Japanese particles and conjunctions indicating relationships between clauses or ideas,,oai_token-act-pair,
28,gemma-2-9b,5-gemmascope-res-16k,references to muscle-related terminology and concepts,,oai_token-act-pair,
29,gemma-2-9b,5-gemmascope-res-16k,references to COVID-19 and related terms,,oai_token-act-pair,
30,gemma-2-9b,5-gemmascope-res-16k," mentions of locations, particularly in the context of sports events",,oai_token-act-pair,
31,gemma-2-9b,5-gemmascope-res-16k,references to various types of flooring and coverings,,oai_token-act-pair,
32,gemma-2-9b,5-gemmascope-res-16k," occurrences of the term ""model"" along with related specifications and attributes",,oai_token-act-pair,
33,gemma-2-9b,5-gemmascope-res-16k,"references to organizations, firms, or companies",,oai_token-act-pair,
34,gemma-2-9b,5-gemmascope-res-16k,terms indicating specific qualities or characteristics of items or concepts,,oai_token-act-pair,
35,gemma-2-9b,5-gemmascope-res-16k,expressions related to making promises or commitments,,oai_token-act-pair,
36,gemma-2-9b,5-gemmascope-res-16k," instances of the letter ""s"" in various contexts",,oai_token-act-pair,
37,gemma-2-9b,5-gemmascope-res-16k, names or references associated with a specific place or region,,oai_token-act-pair,
38,gemma-2-9b,5-gemmascope-res-16k,terms related to chemical and physical properties as well as descriptors for medications and treatment conditions,gpt-4o-mini,oai_token-act-pair,
39,gemma-2-9b,5-gemmascope-res-16k,references to the Spring Framework in programming context,,oai_token-act-pair,
40,gemma-2-9b,5-gemmascope-res-16k,references to mobile devices and technology,,oai_token-act-pair,
41,gemma-2-9b,5-gemmascope-res-16k,"mentions of the term ""flex"" in various contexts",,oai_token-act-pair,
42,gemma-2-9b,5-gemmascope-res-16k," references to event handling in programming, particularly for user interface interactions",,oai_token-act-pair,
43,gemma-2-9b,5-gemmascope-res-16k," references to various military organizations, specifically the Army and Navy",,oai_token-act-pair,
44,gemma-2-9b,5-gemmascope-res-16k, mentions of collaboration or unity,,oai_token-act-pair,
45,gemma-2-9b,5-gemmascope-res-16k,references to the concept of evolution in various contexts,,oai_token-act-pair,
46,gemma-2-9b,5-gemmascope-res-16k, programming-related constructs and syntax,,oai_token-act-pair,
47,gemma-2-9b,5-gemmascope-res-16k,legal disclaimers and terms of use,,oai_token-act-pair,
48,gemma-2-9b,5-gemmascope-res-16k," the phrase ""years of"" indicating duration or experience",,oai_token-act-pair,
49,gemma-2-9b,5-gemmascope-res-16k,terms related to cognitive functions and impairments,,oai_token-act-pair,
50,gemma-2-9b,5-gemmascope-res-16k, HTML tags and formatting elements in the text,,oai_token-act-pair,
51,gemma-2-9b,5-gemmascope-res-16k, mentions of the Internet Explorer web browser,,oai_token-act-pair,
52,gemma-2-9b,5-gemmascope-res-16k,terms related to oral health and treatments,,oai_token-act-pair,
53,gemma-2-9b,5-gemmascope-res-16k," data types and structures related to programming or coding, especially in the context of PCI devices",,oai_token-act-pair,
54,gemma-2-9b,5-gemmascope-res-16k, references to keeping current or updated,,oai_token-act-pair,
55,gemma-2-9b,5-gemmascope-res-16k,HTML and JavaScript components related to form and button elements in a web application,,oai_token-act-pair,
56,gemma-2-9b,5-gemmascope-res-16k,references to manuscripts and related scientific documents,,oai_token-act-pair,
57,gemma-2-9b,5-gemmascope-res-16k,"the presence of opening tags in various contexts, particularly in programming or structured text",,oai_token-act-pair,
58,gemma-2-9b,5-gemmascope-res-16k,terms related to Mormon Church beliefs and structures,,oai_token-act-pair,
59,gemma-2-9b,5-gemmascope-res-16k,"instances of the term ""adequate"" along with related contextual terms",,oai_token-act-pair,
60,gemma-2-9b,5-gemmascope-res-16k, instances of specific programming or protocol keywords and functions,,oai_token-act-pair,
61,gemma-2-9b,5-gemmascope-res-16k,phrases indicating potential or future actions that have not yet occurred,,oai_token-act-pair,
62,gemma-2-9b,5-gemmascope-res-16k," occurrences of the word ""double"" and its variations in different contexts",,oai_token-act-pair,
63,gemma-2-9b,5-gemmascope-res-16k,terms related to systematic literature searches and database analysis,,oai_token-act-pair,
64,gemma-2-9b,5-gemmascope-res-16k,punctuation marks,,oai_token-act-pair,
65,gemma-2-9b,5-gemmascope-res-16k," occurrences of the word ""there.""",,oai_token-act-pair,
66,gemma-2-9b,5-gemmascope-res-16k,phrases that involve seeking or searching for something,,oai_token-act-pair,
67,gemma-2-9b,5-gemmascope-res-16k, mathematical symbols and notation related to functions and variables,,oai_token-act-pair,
68,gemma-2-9b,5-gemmascope-res-16k, terms and phrases related to practice and rehearsal,,oai_token-act-pair,
