index,modelId,layer,description,explanationModelName,typeName,bio_related
0,gemma-2-9b,32-gemmascope-res-16k, references to scientific papers and their contributors,,oai_token-act-pair,
1,gemma-2-9b,32-gemmascope-res-16k,sections that mention the regulatory aspects and penalties related to auditing practices and competition within the audit market,,oai_token-act-pair,
2,gemma-2-9b,32-gemmascope-res-16k, rankings and positions in competitive contexts,,oai_token-act-pair,
3,gemma-2-9b,32-gemmascope-res-16k, terms related to protein purification and chromatography processes,,oai_token-act-pair,
4,gemma-2-9b,32-gemmascope-res-16k,"the word ""Further"" and its variants in various contexts",,oai_token-act-pair,
5,gemma-2-9b,32-gemmascope-res-16k,code related to database connections and internet connectivity issues,,oai_token-act-pair,
6,gemma-2-9b,32-gemmascope-res-16k,causal relationships and consequences related to health and disease,,oai_token-act-pair,
7,gemma-2-9b,32-gemmascope-res-16k, elements related to judicial candidates and their campaign conduct,,oai_token-act-pair,
8,gemma-2-9b,32-gemmascope-res-16k," terms related to ""CAP"" or variations of it in a scientific context",,oai_token-act-pair,
9,gemma-2-9b,32-gemmascope-res-16k,references to specific authors or contributors in scientific contexts,,oai_token-act-pair,
10,gemma-2-9b,32-gemmascope-res-16k,legal proceedings and judiciary-related terminology,,oai_token-act-pair,
11,gemma-2-9b,32-gemmascope-res-16k,terms related to technological innovation and advancement,,oai_token-act-pair,
12,gemma-2-9b,32-gemmascope-res-16k, various numerical values and references related to studies or statistics,,oai_token-act-pair,
13,gemma-2-9b,32-gemmascope-res-16k,"phrases and questions regarding quantity, specifically concerning how much of something exists or is required",,oai_token-act-pair,
14,gemma-2-9b,32-gemmascope-res-16k,information about patterns or common practices in various contexts,,oai_token-act-pair,
15,gemma-2-9b,32-gemmascope-res-16k,"specific noun phrases that include the word ""the"" in various contexts",,oai_token-act-pair,
16,gemma-2-9b,32-gemmascope-res-16k, references to land ownership and property rights,,oai_token-act-pair,
17,gemma-2-9b,32-gemmascope-res-16k,"programming-related terms and constructs, particularly in the context of code compilation and UI components",,oai_token-act-pair,
18,gemma-2-9b,32-gemmascope-res-16k,numerical data or references to specific years and statistics,,oai_token-act-pair,
19,gemma-2-9b,32-gemmascope-res-16k,elements of computer programming syntax and structure,,oai_token-act-pair,
20,gemma-2-9b,32-gemmascope-res-16k, key actions and scores in competitive sports scenarios,,oai_token-act-pair,
21,gemma-2-9b,32-gemmascope-res-16k,data structures and elements related to user roles and items in a database,,oai_token-act-pair,
22,gemma-2-9b,32-gemmascope-res-16k,terms related to online banking and financial products,,oai_token-act-pair,
23,gemma-2-9b,32-gemmascope-res-16k, the presence of underscore characters in technical or programming contexts,,oai_token-act-pair,
24,gemma-2-9b,32-gemmascope-res-16k,terms related to patents and patent law,,oai_token-act-pair,
25,gemma-2-9b,32-gemmascope-res-16k,proper nouns related to legal cases and individuals involved in them,,oai_token-act-pair,
26,gemma-2-9b,32-gemmascope-res-16k, programming-related keywords and events in code,,oai_token-act-pair,
27,gemma-2-9b,32-gemmascope-res-16k,references to lunar cycles and their significance in cultural or astronomical contexts,,oai_token-act-pair,
28,gemma-2-9b,32-gemmascope-res-16k, references to website optimization and user experience,,oai_token-act-pair,
29,gemma-2-9b,32-gemmascope-res-16k,references to authorship or authority in the text,,oai_token-act-pair,
30,gemma-2-9b,32-gemmascope-res-16k, terms related to optical devices and their properties,,oai_token-act-pair,
31,gemma-2-9b,32-gemmascope-res-16k," specific formatting attributes in text, particularly related to numerical representation and layout",,oai_token-act-pair,
32,gemma-2-9b,32-gemmascope-res-16k,terms related to mathematical concepts and analyses,,oai_token-act-pair,False
33,gemma-2-9b,32-gemmascope-res-16k,statistics related to sports performance records,,oai_token-act-pair,
34,gemma-2-9b,32-gemmascope-res-16k,Japanese language expressions and programming terms related to coding and debugging,,oai_token-act-pair,
35,gemma-2-9b,32-gemmascope-res-16k, specific numeric patterns or sequences in the text,,oai_token-act-pair,
36,gemma-2-9b,32-gemmascope-res-16k,phrases that express comparisons or contrast between actions or ideas,,oai_token-act-pair,
37,gemma-2-9b,32-gemmascope-res-16k,specific entities or keywords related to legal proceedings and historical events,,oai_token-act-pair,
38,gemma-2-9b,32-gemmascope-res-16k, terms related to print framing and shipping information,,oai_token-act-pair,
39,gemma-2-9b,32-gemmascope-res-16k,"terms and phrases related to mechanical components and their functions in machinery, especially regarding clutches and lifting mechanisms",,oai_token-act-pair,
40,gemma-2-9b,32-gemmascope-res-16k,discussions related to causes and effects in various contexts,,oai_token-act-pair,
41,gemma-2-9b,32-gemmascope-res-16k," instances of the word ""By"" and its variants, indicating authorship or agency in sentences",,oai_token-act-pair,
42,gemma-2-9b,32-gemmascope-res-16k,elements related to code structure and syntax in programming documentation,,oai_token-act-pair,
43,gemma-2-9b,32-gemmascope-res-16k,service-related terms and business operational phrases,,oai_token-act-pair,
44,gemma-2-9b,32-gemmascope-res-16k,possessive pronouns related to personal identity and relationships,,oai_token-act-pair,
45,gemma-2-9b,32-gemmascope-res-16k,references to doubt and emotional transformations,,oai_token-act-pair,
46,gemma-2-9b,32-gemmascope-res-16k,technical terms and specific data points related to genetic analysis,,oai_token-act-pair,
47,gemma-2-9b,32-gemmascope-res-16k, code structures and definitions related to data types and collections,,oai_token-act-pair,
48,gemma-2-9b,32-gemmascope-res-16k,references related to statistical data and results in a medical or research context,,oai_token-act-pair,
