index,modelId,layer,description,explanationModelName,typeName,bio_related
0,gemma-2-9b,9-gemmascope-res-16k,phrases indicating certainty and confirmation of statements,,oai_token-act-pair,
1,gemma-2-9b,9-gemmascope-res-16k,comments and import statements in code,,oai_token-act-pair,
2,gemma-2-9b,9-gemmascope-res-16k, phrases that indicate guidance or helpfulness for understanding processes or resources,,oai_token-act-pair,
3,gemma-2-9b,9-gemmascope-res-16k,mathematical expressions involving square roots and fractions,,oai_token-act-pair,
4,gemma-2-9b,9-gemmascope-res-16k, terms related to energy production and usage in renewable systems,,oai_token-act-pair,
5,gemma-2-9b,9-gemmascope-res-16k, mathematical notation related to limits and equations involving continuity,,oai_token-act-pair,
6,gemma-2-9b,9-gemmascope-res-16k,phrases that express comparison or analogy,,oai_token-act-pair,
7,gemma-2-9b,9-gemmascope-res-16k,structured mathematical expressions and equations related to data analysis or modeling,,oai_token-act-pair,
8,gemma-2-9b,9-gemmascope-res-16k,references to Android activity and fragment classes in code,,oai_token-act-pair,
9,gemma-2-9b,9-gemmascope-res-16k, instances of Java import statements and annotations in the code,,oai_token-act-pair,
10,gemma-2-9b,9-gemmascope-res-16k,specific names and identifiers related to people or organizations,,oai_token-act-pair,
11,gemma-2-9b,9-gemmascope-res-16k,references to the Olympic Games and notable achievements within that context,,oai_token-act-pair,
12,gemma-2-9b,9-gemmascope-res-16k,file path or import statements in code,,oai_token-act-pair,
13,gemma-2-9b,9-gemmascope-res-16k,"elements related to celebrity news, particularly involving financial or legal issues",,oai_token-act-pair,
14,gemma-2-9b,9-gemmascope-res-16k, numerical identifiers and elements related to data structures or programming,,oai_token-act-pair,
15,gemma-2-9b,9-gemmascope-res-16k, discussions that emphasize honesty and vulnerability,,oai_token-act-pair,False
16,gemma-2-9b,9-gemmascope-res-16k,"content that references inventions, rights, and management related to technology and information systems",,oai_token-act-pair,False
17,gemma-2-9b,9-gemmascope-res-16k,"references to academic journals, particularly in the field of physics and related sciences",,oai_token-act-pair,False
18,gemma-2-9b,9-gemmascope-res-16k,references to human impact on the environment and ecosystems,,oai_token-act-pair,
19,gemma-2-9b,9-gemmascope-res-16k, terms related to operational efficiency and restructuring processes,gpt-4o-mini,oai_token-act-pair,
20,gemma-2-9b,9-gemmascope-res-16k,references to real estate features and characteristics,,oai_token-act-pair,
21,gemma-2-9b,9-gemmascope-res-16k,occurrences of parenthetical remarks or citations within the text,,oai_token-act-pair,
22,gemma-2-9b,9-gemmascope-res-16k,"specific individuals and their associations or roles in a context, particularly focusing on names and interpersonal connections",,oai_token-act-pair,
23,gemma-2-9b,9-gemmascope-res-16k,special characters and formatting symbols in text,,oai_token-act-pair,
24,gemma-2-9b,9-gemmascope-res-16k,locations and events related to live performances or concerts,,oai_token-act-pair,
25,gemma-2-9b,9-gemmascope-res-16k,"references to scale, size, and grandeur in various contexts",,oai_token-act-pair,False
26,gemma-2-9b,9-gemmascope-res-16k, legal terminology and references to court proceedings,,oai_token-act-pair,
27,gemma-2-9b,9-gemmascope-res-16k, strings related to quotes and bracket syntax,,oai_token-act-pair,False
28,gemma-2-9b,9-gemmascope-res-16k,phrases related to various aspects of training and education,,oai_token-act-pair,False
29,gemma-2-9b,9-gemmascope-res-16k, punctuation marks and their frequencies in the text,,oai_token-act-pair,
30,gemma-2-9b,9-gemmascope-res-16k,statistical indications of presence or significance in data analyses,,oai_token-act-pair,False
31,gemma-2-9b,9-gemmascope-res-16k," terms related to food spreads, particularly marshmallow creme and grease",,oai_token-act-pair,
32,gemma-2-9b,9-gemmascope-res-16k, references to model classes in programming,,oai_token-act-pair,False
33,gemma-2-9b,9-gemmascope-res-16k,mentions of political figures and governmental roles within a specific region or state,,oai_token-act-pair,False
34,gemma-2-9b,9-gemmascope-res-16k," references to tailored clothing items, specifically suits",,oai_token-act-pair,
35,gemma-2-9b,9-gemmascope-res-16k,statements relating to personal or group experiences and perspectives,,oai_token-act-pair,
36,gemma-2-9b,9-gemmascope-res-16k, terms related to property management and real estate transactions,,oai_token-act-pair,
37,gemma-2-9b,9-gemmascope-res-16k,instructions or reminders for actions that need to be taken,,oai_token-act-pair,
38,gemma-2-9b,9-gemmascope-res-16k, elements and terms related to user interface design and book recommendations,,oai_token-act-pair,
39,gemma-2-9b,9-gemmascope-res-16k, programming-related terms and syntax structures,,oai_token-act-pair,
40,gemma-2-9b,9-gemmascope-res-16k,references to scientific journals and publications,,oai_token-act-pair,
41,gemma-2-9b,9-gemmascope-res-16k, programming and mathematical expressions related to counting and functions,,oai_token-act-pair,
42,gemma-2-9b,9-gemmascope-res-16k, elements related to role-playing games (RPGs) and game mechanics,,oai_token-act-pair,
43,gemma-2-9b,9-gemmascope-res-16k, mathematical symbols and operations,,oai_token-act-pair,
44,gemma-2-9b,9-gemmascope-res-16k,references to links or URLs in a document,,oai_token-act-pair,
45,gemma-2-9b,9-gemmascope-res-16k,terms related to development or improvement in various contexts,,oai_token-act-pair,True
46,gemma-2-9b,9-gemmascope-res-16k,concessive clauses indicating contrast or contradiction,,oai_token-act-pair,
47,gemma-2-9b,9-gemmascope-res-16k, keywords related to access modifiers and variable declarations in programming,,oai_token-act-pair,
48,gemma-2-9b,9-gemmascope-res-16k,signatures of function or method declarations in code,,oai_token-act-pair,
49,gemma-2-9b,9-gemmascope-res-16k,references to specific locations and healthcare systems,,oai_token-act-pair,False
50,gemma-2-9b,9-gemmascope-res-16k,phrases or concepts that imply innovation or solutions in various contexts,,oai_token-act-pair,False
51,gemma-2-9b,9-gemmascope-res-16k,terms related to dentistry and oral health,,oai_token-act-pair,False
52,gemma-2-9b,9-gemmascope-res-16k,patterns related to mathematical symbols and variables,,oai_token-act-pair,False
53,gemma-2-9b,9-gemmascope-res-16k,names of geographical locations and landmarks,,oai_token-act-pair,False
54,gemma-2-9b,9-gemmascope-res-16k, references to components and functions of saliva and its role in dental health,,oai_token-act-pair,True
55,gemma-2-9b,9-gemmascope-res-16k,elements related to specific geographic locations and characters in narratives,,oai_token-act-pair,
56,gemma-2-9b,9-gemmascope-res-16k,"sections of the document designated for analysis, commentary, or categorization",,oai_token-act-pair,
57,gemma-2-9b,9-gemmascope-res-16k, punctuation marks and ellipses,,oai_token-act-pair,
58,gemma-2-9b,9-gemmascope-res-16k,keywords related to job applications and resumes,,oai_token-act-pair,False
59,gemma-2-9b,9-gemmascope-res-16k,statistical metrics and data related to diagnostic testing and performance evaluation,,oai_token-act-pair,
60,gemma-2-9b,9-gemmascope-res-16k,references to geographical regions and their political or administrative aspects,,oai_token-act-pair,False
61,gemma-2-9b,9-gemmascope-res-16k,references to historical or geographical entities,,oai_token-act-pair,
62,gemma-2-9b,9-gemmascope-res-16k, comments and documentation style indicators in code,,oai_token-act-pair,
63,gemma-2-9b,9-gemmascope-res-16k, instances of time-related phrases or expressions,,oai_token-act-pair,
64,gemma-2-9b,9-gemmascope-res-16k,code-related terms and parameters in programming contexts,,oai_token-act-pair,
65,gemma-2-9b,9-gemmascope-res-16k, function declarations and their parameter lists,,oai_token-act-pair,
66,gemma-2-9b,9-gemmascope-res-16k," descriptors and attributes related to physical objects, specifically their ends or tips",,oai_token-act-pair,False
67,gemma-2-9b,9-gemmascope-res-16k, phrases indicating quantities and durations,,oai_token-act-pair,
68,gemma-2-9b,9-gemmascope-res-16k, references to the Windows operating system and its components,,oai_token-act-pair,
69,gemma-2-9b,9-gemmascope-res-16k, code structure and termination keywords,,oai_token-act-pair,
70,gemma-2-9b,9-gemmascope-res-16k,"names that include the component ""van der.""",,oai_token-act-pair,
71,gemma-2-9b,9-gemmascope-res-16k, items and features related to outdoor protection from the elements,,oai_token-act-pair,
72,gemma-2-9b,9-gemmascope-res-16k,"mentions of prominent individuals, particularly in sports and pop culture",,oai_token-act-pair,False
73,gemma-2-9b,9-gemmascope-res-16k, references to evolutionary biology and genetic transport mechanisms,,oai_token-act-pair,True
74,gemma-2-9b,9-gemmascope-res-16k,evidence and indicators present in legal or formal documents,,oai_token-act-pair,
75,gemma-2-9b,9-gemmascope-res-16k, mentions of the Angular framework and related components,,oai_token-act-pair,
76,gemma-2-9b,9-gemmascope-res-16k, expressions of gratitude and appreciation,,oai_token-act-pair,
77,gemma-2-9b,9-gemmascope-res-16k,terms related to fishing and interactions with fish,,oai_token-act-pair,
78,gemma-2-9b,9-gemmascope-res-16k, occurrences of range-related functions or methods in programming,,oai_token-act-pair,
79,gemma-2-9b,9-gemmascope-res-16k,references to medical and biological conditions or treatments,,oai_token-act-pair,
80,gemma-2-9b,9-gemmascope-res-16k,"terms associated with medical conditions, particularly related to cardiac issues and seizures",,oai_token-act-pair,
81,gemma-2-9b,9-gemmascope-res-16k,responses related to programming errors and output results,,oai_token-act-pair,
82,gemma-2-9b,9-gemmascope-res-16k," occurrences of the word ""the""",,oai_token-act-pair,
83,gemma-2-9b,9-gemmascope-res-16k, terms related to mechanical components and systems in machinery,,oai_token-act-pair,
84,gemma-2-9b,9-gemmascope-res-16k, terms related to kayaking and canoeing activities,,oai_token-act-pair,False
85,gemma-2-9b,9-gemmascope-res-16k,"references to ""super"" or ""super-"" in various contexts, often associated with powerful or enhanced characteristics",,oai_token-act-pair,
86,gemma-2-9b,9-gemmascope-res-16k,references to specific companies and their statuses,,oai_token-act-pair,
87,gemma-2-9b,9-gemmascope-res-16k,terms related to qualifications and eligibility criteria in tax or financial contexts,,oai_token-act-pair,
88,gemma-2-9b,9-gemmascope-res-16k, terms and concepts related to object-oriented programming and design patterns,,oai_token-act-pair,
89,gemma-2-9b,9-gemmascope-res-16k, phrases related to detection and sensitivity in scientific methods,,oai_token-act-pair,
90,gemma-2-9b,9-gemmascope-res-16k, semicolons and other punctuation used in coding syntax,,oai_token-act-pair,
91,gemma-2-9b,9-gemmascope-res-16k, concepts related to feature selection in machine learning for classification problems,,oai_token-act-pair,False
92,gemma-2-9b,9-gemmascope-res-16k, references to articles and related product identifiers in a structured format,,oai_token-act-pair,
93,gemma-2-9b,9-gemmascope-res-16k, formatting placeholders and related syntax in code or string outputs,,oai_token-act-pair,
94,gemma-2-9b,9-gemmascope-res-16k,"conjunctions, particularly the word ""and""",,oai_token-act-pair,
95,gemma-2-9b,9-gemmascope-res-16k, negative constructions and phrases indicating failure or denial,,oai_token-act-pair,
96,gemma-2-9b,9-gemmascope-res-16k,instances of celebrations and public gatherings,,oai_token-act-pair,
97,gemma-2-9b,9-gemmascope-res-16k,"mentions of individuals, specifically titles and names associated with people",,oai_token-act-pair,
98,gemma-2-9b,9-gemmascope-res-16k,references to regulatory bodies and their actions related to administrative processes,,oai_token-act-pair,False
99,gemma-2-9b,9-gemmascope-res-16k, mathematical expressions and operations related to differentiation and simplification,,oai_token-act-pair,
100,gemma-2-9b,9-gemmascope-res-16k, coding syntax and data manipulation functions in programming contexts,,oai_token-act-pair,False
101,gemma-2-9b,9-gemmascope-res-16k,content related to interviews and discussions,,oai_token-act-pair,
102,gemma-2-9b,9-gemmascope-res-16k, relationships and associations between different variables or factors,,oai_token-act-pair,False
103,gemma-2-9b,9-gemmascope-res-16k, proper nouns and names within a context,,oai_token-act-pair,
104,gemma-2-9b,9-gemmascope-res-16k,"genetic factors and their relationship to cancer, particularly through the role of certain enzymes and dietary components",,oai_token-act-pair,True
105,gemma-2-9b,9-gemmascope-res-16k,function declarations in code,,oai_token-act-pair,
106,gemma-2-9b,9-gemmascope-res-16k, expressions of gratitude and acknowledgment towards contributors and reviewers,,oai_token-act-pair,
107,gemma-2-9b,9-gemmascope-res-16k,"references to time, specifically related to 'late' and its variations",,oai_token-act-pair,
108,gemma-2-9b,9-gemmascope-res-16k,"specific names of individuals, programming interfaces, or technical terms relevant to coding and software development",,oai_token-act-pair,False
109,gemma-2-9b,9-gemmascope-res-16k,technical terms and identifiers related to programming and scientific documentation,,oai_token-act-pair,False
110,gemma-2-9b,9-gemmascope-res-16k, references to thrift shopping and second-hand goods,,oai_token-act-pair,
111,gemma-2-9b,9-gemmascope-res-16k, references to saints and associated religious concepts,,oai_token-act-pair,False
112,gemma-2-9b,9-gemmascope-res-16k, programming language constructs such as variable declarations and property annotations,,oai_token-act-pair,
113,gemma-2-9b,9-gemmascope-res-16k,"relationships and connections between entities, particularly those involving attachment and separation",,oai_token-act-pair,False
114,gemma-2-9b,9-gemmascope-res-16k,terms related to leadership styles and their impact on employees,,oai_token-act-pair,
115,gemma-2-9b,9-gemmascope-res-16k,references to personal ownership or self-identity,,oai_token-act-pair,
116,gemma-2-9b,9-gemmascope-res-16k,terms related to postoperative medical evaluations and conditions,,oai_token-act-pair,False
117,gemma-2-9b,9-gemmascope-res-16k,"references to scientific authors, journals, or their affiliations",,oai_token-act-pair,
118,gemma-2-9b,9-gemmascope-res-16k,references to organizations or events related to public relations or media activities,,oai_token-act-pair,False
119,gemma-2-9b,9-gemmascope-res-16k,phrases related to collaborative processes and their effectiveness,,oai_token-act-pair,False
120,gemma-2-9b,9-gemmascope-res-16k,"terms and phrases related to race and ethnicity, particularly focusing on African American and multicultural contexts",,oai_token-act-pair,
121,gemma-2-9b,9-gemmascope-res-16k, words and phrases relating to courage and bravery,,oai_token-act-pair,
122,gemma-2-9b,9-gemmascope-res-16k,scientific terminology related to NMR (Nuclear Magnetic Resonance) spectroscopy and its associated techniques,,oai_token-act-pair,
123,gemma-2-9b,9-gemmascope-res-16k,terms and phrases related to technical specifications and processes in various fields,,oai_token-act-pair,False
124,gemma-2-9b,9-gemmascope-res-16k, coding elements related to programming and functions in a specific language,,oai_token-act-pair,
125,gemma-2-9b,9-gemmascope-res-16k,"instances of the auxiliary verb ""to be"" in various forms",,oai_token-act-pair,
126,gemma-2-9b,9-gemmascope-res-16k,economic terms related to inflation and its effects,,oai_token-act-pair,
127,gemma-2-9b,9-gemmascope-res-16k,terms related to physical conditions and material properties,,oai_token-act-pair,
128,gemma-2-9b,9-gemmascope-res-16k, components and functions related to pumps and fluid dynamics,,oai_token-act-pair,
129,gemma-2-9b,9-gemmascope-res-16k,names of companies and organizations,,oai_token-act-pair,
130,gemma-2-9b,9-gemmascope-res-16k,mathematical expressions and symbols in a technical or scientific context,,oai_token-act-pair,
131,gemma-2-9b,9-gemmascope-res-16k, expressions of gratitude and farewell,,oai_token-act-pair,
132,gemma-2-9b,9-gemmascope-res-16k,"elements of code, particularly related to programming constructs and libraries",,oai_token-act-pair,
133,gemma-2-9b,9-gemmascope-res-16k,"syntax and structure of programming code, particularly related to method calls and parameters",,oai_token-act-pair,
134,gemma-2-9b,9-gemmascope-res-16k, references to technical issues or troubleshooting processes,,oai_token-act-pair,
135,gemma-2-9b,9-gemmascope-res-16k,mathematical symbols and mathematical expressions related to functions and matrices,,oai_token-act-pair,False
136,gemma-2-9b,9-gemmascope-res-16k, code-related keywords in a programming or scripting context,,oai_token-act-pair,
137,gemma-2-9b,9-gemmascope-res-16k,"elements related to images, particularly their attributes and source URLs",,oai_token-act-pair,
138,gemma-2-9b,9-gemmascope-res-16k,concepts related to imaginary and hypothetical scenarios,,oai_token-act-pair,False
139,gemma-2-9b,9-gemmascope-res-16k, mathematical expressions and inequalities,,oai_token-act-pair,
140,gemma-2-9b,9-gemmascope-res-16k,keywords related to input validation and constraints within programming contexts,,oai_token-act-pair,
141,gemma-2-9b,9-gemmascope-res-16k,"instances of the word ""similar"" and variations of it",,oai_token-act-pair,
142,gemma-2-9b,9-gemmascope-res-16k,references to memories and reminiscence,,oai_token-act-pair,
143,gemma-2-9b,9-gemmascope-res-16k,concepts related to plant varieties and horticulture,,oai_token-act-pair,True
144,gemma-2-9b,9-gemmascope-res-16k, occurrences of personal experiences and interactions,,oai_token-act-pair,
145,gemma-2-9b,9-gemmascope-res-16k,personal reflections and declarations of belief or opinions,,oai_token-act-pair,False
146,gemma-2-9b,9-gemmascope-res-16k, references to notebooks and journals,,oai_token-act-pair,
147,gemma-2-9b,9-gemmascope-res-16k, mentions of auditing practices and the regulatory environment surrounding them,,oai_token-act-pair,
148,gemma-2-9b,9-gemmascope-res-16k,chemical formulas and numerical information related to chemical reactions,,oai_token-act-pair,
149,gemma-2-9b,9-gemmascope-res-16k, references to missions and missionaries in a religious context,,oai_token-act-pair,
150,gemma-2-9b,9-gemmascope-res-16k,phrases indicating temporal relationships or conditions,,oai_token-act-pair,
151,gemma-2-9b,9-gemmascope-res-16k,references to detailed descriptions of methods or results in sections and appendices of academic writing,,oai_token-act-pair,
152,gemma-2-9b,9-gemmascope-res-16k, terms associated with expatriates and their experiences,,oai_token-act-pair,
153,gemma-2-9b,9-gemmascope-res-16k, LaTeX package commands and stylesheets for typesetting documents,,oai_token-act-pair,
154,gemma-2-9b,9-gemmascope-res-16k,mentions of social media and online platforms,,oai_token-act-pair,
155,gemma-2-9b,9-gemmascope-res-16k, LaTeX code elements and commands related to document formatting,,oai_token-act-pair,
156,gemma-2-9b,9-gemmascope-res-16k,"instances of the word ""however"" and related transition phrases",,oai_token-act-pair,
157,gemma-2-9b,9-gemmascope-res-16k,general statements or references to unspecified concepts,,oai_token-act-pair,False
158,gemma-2-9b,9-gemmascope-res-16k, mathematical terminology and symbols related to calculus and integrals,,oai_token-act-pair,
159,gemma-2-9b,9-gemmascope-res-16k,names of people and references to family and societal structures,,oai_token-act-pair,False
160,gemma-2-9b,9-gemmascope-res-16k, mathematical symbols and notation,,oai_token-act-pair,
161,gemma-2-9b,9-gemmascope-res-16k, terms related to networking protocols and data packet processing,,oai_token-act-pair,
162,gemma-2-9b,9-gemmascope-res-16k, elements related to character attributes and status effects in gaming contexts,,oai_token-act-pair,
163,gemma-2-9b,9-gemmascope-res-16k,activities related to skiing and outdoor sports,,oai_token-act-pair,
164,gemma-2-9b,9-gemmascope-res-16k, phrases indicating legal responsibilities and duties,,oai_token-act-pair,
165,gemma-2-9b,9-gemmascope-res-16k,elements related to error codes and technical specifications,,oai_token-act-pair,
166,gemma-2-9b,9-gemmascope-res-16k, programming constructs related to functions and allocations,,oai_token-act-pair,
167,gemma-2-9b,9-gemmascope-res-16k,mentions of the UK and related subjects,,oai_token-act-pair,False
168,gemma-2-9b,9-gemmascope-res-16k,references to various worlds or settings,,oai_token-act-pair,False
169,gemma-2-9b,9-gemmascope-res-16k,proper nouns and notable names related to politics and governance,,oai_token-act-pair,False
170,gemma-2-9b,9-gemmascope-res-16k,"terms and phrases related to ""trans"" as a prefix, indicating transformation, transmission, or transition",,oai_token-act-pair,
171,gemma-2-9b,9-gemmascope-res-16k,technical terms related to error handling in API requests,,oai_token-act-pair,
172,gemma-2-9b,9-gemmascope-res-16k,technical language related to molecular biology and programming concepts,,oai_token-act-pair,True
173,gemma-2-9b,9-gemmascope-res-16k,instances where the term 'Among' is used in various contexts,,oai_token-act-pair,
174,gemma-2-9b,9-gemmascope-res-16k,content related to music and templates in web development,,oai_token-act-pair,
175,gemma-2-9b,9-gemmascope-res-16k,terms related to renormalization in quantum field theory,,oai_token-act-pair,False
176,gemma-2-9b,9-gemmascope-res-16k,increment and decrement operators in code,,oai_token-act-pair,
177,gemma-2-9b,9-gemmascope-res-16k, mathematical operations and their symbols,,oai_token-act-pair,
178,gemma-2-9b,9-gemmascope-res-16k,references to time intervals and durations,,oai_token-act-pair,
179,gemma-2-9b,9-gemmascope-res-16k, references to time periods and durations,,oai_token-act-pair,
180,gemma-2-9b,9-gemmascope-res-16k, references to specific companies and their products in a scientific or medical context,,oai_token-act-pair,
181,gemma-2-9b,9-gemmascope-res-16k, instances of code syntax and structured output in programming contexts,,oai_token-act-pair,
182,gemma-2-9b,9-gemmascope-res-16k," details related to athletic achievements, specifically in shot putting and discus throwing",,oai_token-act-pair,
183,gemma-2-9b,9-gemmascope-res-16k,abbreviations and terms related to legal documents or jurisdictions,,oai_token-act-pair,
184,gemma-2-9b,9-gemmascope-res-16k,HTML and JavaScript elements and their structures within a document,,oai_token-act-pair,False
185,gemma-2-9b,9-gemmascope-res-16k,references to political actions and their implications,,oai_token-act-pair,
186,gemma-2-9b,9-gemmascope-res-16k,instances of sight and discovery,,oai_token-act-pair,
187,gemma-2-9b,9-gemmascope-res-16k, references to magic and magical themes,,oai_token-act-pair,
188,gemma-2-9b,9-gemmascope-res-16k, references to the Green Party and its political activities,,oai_token-act-pair,
189,gemma-2-9b,9-gemmascope-res-16k,mentions of spokespersons and their statements or comments,,oai_token-act-pair,
190,gemma-2-9b,9-gemmascope-res-16k,references to randomness and random number generation in computational contexts,,oai_token-act-pair,False
191,gemma-2-9b,9-gemmascope-res-16k,references to hours and time-related metrics or service obligations,,oai_token-act-pair,
192,gemma-2-9b,9-gemmascope-res-16k, references to legal terms and structures,,oai_token-act-pair,False
193,gemma-2-9b,9-gemmascope-res-16k,terms and phrases related to recycling and waste management,,oai_token-act-pair,False
194,gemma-2-9b,9-gemmascope-res-16k, expressions of gratitude or appreciation,,oai_token-act-pair,
195,gemma-2-9b,9-gemmascope-res-16k,punctuation marks and numerical representations,,oai_token-act-pair,
196,gemma-2-9b,9-gemmascope-res-16k, references to Earth and its characteristics or phenomena,,oai_token-act-pair,
197,gemma-2-9b,9-gemmascope-res-16k, sequences of numbers and patterns,,oai_token-act-pair,
198,gemma-2-9b,9-gemmascope-res-16k, references to hash codes and their behavior in programming contexts,,oai_token-act-pair,
199,gemma-2-9b,9-gemmascope-res-16k, import statements in programming code,,oai_token-act-pair,
200,gemma-2-9b,9-gemmascope-res-16k,references to universities and educational institutions,,oai_token-act-pair,
201,gemma-2-9b,9-gemmascope-res-16k,references to various types and categories within a specific context,,oai_token-act-pair,True
202,gemma-2-9b,9-gemmascope-res-16k,instances of disappointment or failure in various contexts,,oai_token-act-pair,
203,gemma-2-9b,9-gemmascope-res-16k,keywords and phrases related to personal development and life purpose,,oai_token-act-pair,False
204,gemma-2-9b,9-gemmascope-res-16k, expressions of admiration and appreciation,,oai_token-act-pair,
205,gemma-2-9b,9-gemmascope-res-16k,mathematical expressions and formulas,,oai_token-act-pair,
206,gemma-2-9b,9-gemmascope-res-16k, mathematical or scientific expressions related to measurements and data,,oai_token-act-pair,True
207,gemma-2-9b,9-gemmascope-res-16k,aspects related to structural biology and the characteristics of protein sequences,,oai_token-act-pair,True
208,gemma-2-9b,9-gemmascope-res-16k,terms related to mechanical properties and stresses in materials,,oai_token-act-pair,
209,gemma-2-9b,9-gemmascope-res-16k,terms related to mitochondrial function and health,,oai_token-act-pair,True
210,gemma-2-9b,9-gemmascope-res-16k,terms related to bacteria and bioremediation processes in water treatment,,oai_token-act-pair,True
211,gemma-2-9b,9-gemmascope-res-16k, keywords related to finance and payments,,oai_token-act-pair,
212,gemma-2-9b,9-gemmascope-res-16k, concepts related to mobile app development services and businesses,,oai_token-act-pair,
213,gemma-2-9b,9-gemmascope-res-16k,terms related to smartphones and mobile devices,,oai_token-act-pair,
214,gemma-2-9b,9-gemmascope-res-16k,energy-saving tips and advice for air conditioning and home cooling,,oai_token-act-pair,
215,gemma-2-9b,9-gemmascope-res-16k,"structured formatting elements, particularly in code or markup languages",,oai_token-act-pair,
216,gemma-2-9b,9-gemmascope-res-16k,technical terms and definitions related to network protocols and data structures,,oai_token-act-pair,False
217,gemma-2-9b,9-gemmascope-res-16k, expressions of giving up or resignation,,oai_token-act-pair,
218,gemma-2-9b,9-gemmascope-res-16k,phrases indicating existence or presence,,oai_token-act-pair,
219,gemma-2-9b,9-gemmascope-res-16k,"the presence of the letter ""a""",,oai_token-act-pair,
220,gemma-2-9b,9-gemmascope-res-16k, concepts and terms related to programming semantics and language features,,oai_token-act-pair,
221,gemma-2-9b,9-gemmascope-res-16k, quantitative measures and data analyses,,oai_token-act-pair,
222,gemma-2-9b,9-gemmascope-res-16k,references to Hillary Clinton and related investigations,,oai_token-act-pair,
223,gemma-2-9b,9-gemmascope-res-16k,names and locations related to geography and local fauna,,oai_token-act-pair,
224,gemma-2-9b,9-gemmascope-res-16k,references to unions and collective movements,,oai_token-act-pair,
225,gemma-2-9b,9-gemmascope-res-16k, references to software updates and features,,oai_token-act-pair,
226,gemma-2-9b,9-gemmascope-res-16k,programming or markup language syntax elements and structures,,oai_token-act-pair,
227,gemma-2-9b,9-gemmascope-res-16k, occurrences of verbs and expressions indicating actions or processes,,oai_token-act-pair,
228,gemma-2-9b,9-gemmascope-res-16k,references to plates in various contexts,,oai_token-act-pair,
229,gemma-2-9b,9-gemmascope-res-16k, terms related to dental sensitivity and related medical procedures,,oai_token-act-pair,
230,gemma-2-9b,9-gemmascope-res-16k,technical terms related to token authentication and scopes in programming,,oai_token-act-pair,
231,gemma-2-9b,9-gemmascope-res-16k, numerical patterns and sequences in scientific data,,oai_token-act-pair,
232,gemma-2-9b,9-gemmascope-res-16k, concepts related to psychological assessments and evaluations,,oai_token-act-pair,
233,gemma-2-9b,9-gemmascope-res-16k,references to ancient civilizations and their cultural artifacts,,oai_token-act-pair,
234,gemma-2-9b,9-gemmascope-res-16k,technical terms and components related to programming and software development,,oai_token-act-pair,
235,gemma-2-9b,9-gemmascope-res-16k,references to various types of materials in the context of production or manufacturing processes,,oai_token-act-pair,
236,gemma-2-9b,9-gemmascope-res-16k, mentions of specific classic cars and their attributes,,oai_token-act-pair,
237,gemma-2-9b,9-gemmascope-res-16k, import statements in coding syntax,,oai_token-act-pair,
238,gemma-2-9b,9-gemmascope-res-16k,issues or questions regarding clarity in communication or instructions,,oai_token-act-pair,
239,gemma-2-9b,9-gemmascope-res-16k, terms related to special considerations and definitions in various contexts,,oai_token-act-pair,False
240,gemma-2-9b,9-gemmascope-res-16k, punctuation marks and numbers in a structured data format,,oai_token-act-pair,
241,gemma-2-9b,9-gemmascope-res-16k, legal terminology and references related to tax court proceedings,,oai_token-act-pair,
242,gemma-2-9b,9-gemmascope-res-16k,phrases related to progress and improvement,,oai_token-act-pair,
243,gemma-2-9b,9-gemmascope-res-16k,"phrases that suggest intention or purpose, often linked to instructions or explanations",,oai_token-act-pair,
244,gemma-2-9b,9-gemmascope-res-16k, key terms related to health and social surveys,,oai_token-act-pair,False
